Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
H3649,2015,52.0,0,0,0,1,1,1386.0,1,1988.0,   .,12,0
H3695,2012,52.0,0,0,0,1,1,1100.0,1,1988.0,   .,12,0
H3696,2013,52.0,0,0,0,1,1,1100.0,1,1988.0,   .,12,1
H3792,2014,52.0,0,0,1,0,0,680.0,1,1995.0,3,12,0
H3850,2015,45.0,0,0,0,1,1,3325.0,1,1988.0,   .,12,0
H4018,2013,52.0,0,0,0,1,1,1254.0,1,1960.0,   .,12,1
H4101,2012,52.0,0,0,0,1,1,1000.0,1,1988.0,   .,12,0
H4651,2015,52.0,0,0,0,1,1,1842.0,1,1988.0,   .,12,0
H3481,2015,15.0,0,0,0,1,1,300.0,1,1980.0,   .,2,0
H6729,2013,52.0,0,0,0,1,1,1113.0,1,1988.0,   .,2,0
H17837,2013,52.0,0,0,1,0,0,310.0,1,1900.0,3,2,0
H4081,2016,52.0,0,1,0,1,1,736.0,1,1960.0,   .,2,0
H12871,2013,52.0,0,0,1,0,0,2050.0,1,2007.0,5,8,0
H12872,2014,52.0,0,0,1,0,0,2050.0,1,2007.0,5,8,0
H18579,2013,52.0,1,0,1,0,0,1262.0,1,2006.0,3,8,0
H2417,2012,52.0,0,0,0,1,1,470.0,1,1960.0,   .,8,0
H2586,2014,52.0,0,0,0,1,1,2400.0,1,1980.0,   .,8,0
H2695,2012,52.0,0,0,1,0,0,6510.0,1,1988.0,7,8,1
H5910,2014,52.0,0,0,0,1,1,320.0,1,1960.0,   .,8,0
H6242,2012,52.0,0,0,1,0,0,425.0,1,1980.0,3,8,0
H3500,2012,52.0,0,0,0,1,1,1500.0,1,1988.0,   .,1,0
H3579,2013,52.0,0,0,0,1,1,900.0,1,1988.0,   .,2,0
H6838,2012,52.0,0,1,0,1,1,600.0,1,1988.0,   .,2,0
H13522,2016,52.0,0,1,0,1,1,2000.0,1,1988.0,   .,4,0
H13523,2012,52.0,0,1,0,1,1,1000.0,1,1988.0,   .,4,0
H13524,2013,52.0,0,1,0,1,1,1000.0,1,1988.0,   .,4,0
H13525,2016,52.0,0,1,0,1,1,1000.0,1,1988.0,   .,4,0
H5464,2016,52.0,0,0,0,1,1,1650.0,1,1980.0,   .,6,0
H5486,2012,52.0,0,0,0,1,1,850.0,1,1980.0,   .,6,0
H5487,2015,52.0,0,0,0,1,1,850.0,1,1980.0,   .,6,0
H6145,2016,52.0,0,0,0,1,1,2600.0,1,1988.0,   .,6,0
H6146,2013,52.0,0,1,0,1,1,3500.0,1,1988.0,   .,6,1
H7181,2014,52.0,0,1,0,1,1,260.0,1,1988.0,   .,6,0
H15714,2015,52.0,0,0,1,0,0,530.0,1,1999.0,4,2,0
H18066,2013,52.0,0,0,1,0,0,4700.0,1,1969.0,5,2,1
H14149,2015,52.0,1,1,0,1,1,838.0,1,1960.0,   .,1,0
H12996,2013,52.0,0,1,0,1,1,1728.0,1,1988.0,   .,1,0
H2418,2013,52.0,0,0,0,1,1,1024.0,1,1960.0,   .,1,0
H2507,2015,52.0,0,0,1,0,0,1440.0,1,1985.0,5,10,0
H2593,2012,52.0,0,0,0,1,1,300.0,1,1980.0,   .,10,0
H2638,2012,0.0,0,0,0,1,1,1700.0,1,1980.0,   .,10,0
H2639,2016,0.0,0,0,0,1,1,1700.0,1,1980.0,   .,10,0
H2640,2015,52.0,0,0,1,0,0,3688.0,1,1980.0,>=10,10,1
H2641,2013,52.0,0,0,1,0,0,900.0,1,1970.0,5,10,0
H3254,2013,52.0,0,0,0,1,1,3000.0,1,1980.0,   .,10,0
H3588,2013,52.0,0,0,1,0,0,1170.0,1,1972.0,5,10,0
H3728,2016,52.0,0,0,1,0,0,2976.0,1,1965.0,9,10,0
H5256,2013,52.0,0,0,0,1,1,4101.0,1,1988.0,   .,10,0
H15558,2014,52.0,0,0,1,0,0,800.0,4,1950.0,4,14,0
H18719,2016,52.0,0,0,1,0,0,3100.0,4,1981.0,6,14,0
H19593,2016,52.0,0,0,1,0,0,320.0,4,1971.0,3,14,0
H19784,2016,41.0,0,0,1,0,0,2490.0,4,1972.0,6,14,1
H19813,2016,52.0,0,0,1,0,0,1670.0,4,1975.0,5,14,0
H3038,2013,52.0,0,0,0,1,1,900.0,4,1970.0,   .,14,0
H3509,2012,52.0,0,0,1,0,0,460.0,4,1940.0,5,14,0
H4447,2016,52.0,0,0,1,0,0,3500.0,4,1900.0,4,14,0
H4555,2014,52.0,0,1,0,1,1,14.0,4,1988.0,   .,14,0
H5180,2014,48.0,0,1,0,1,1,9570.0,4,1970.0,   .,14,0
H5512,2012,52.0,0,0,1,0,0,1200.0,4,1997.0,4,14,0
H6126,2013,52.0,0,1,0,1,1,10.0,4,1988.0,   .,14,0
H6575,2012,52.0,0,0,1,0,0,570.0,4,1988.0,3,14,0
H6634,2016,52.0,0,0,1,0,0,3522.0,4,2003.0,4,14,0
H6164,2013,52.0,0,0,1,0,0,650.0,4,1990.0,4,2,0
H6165,2015,51.0,0,0,1,0,0,650.0,4,1990.0,4,2,0
H1503,2013,52.0,1,0,1,0,0,4112.0,4,1965.0,7,3,1
H18935,2014,52.0,0,0,1,0,0,4112.0,4,1960.0,5,3,0
H19802,2016,52.0,0,0,1,0,0,1470.0,4,1970.0,6,3,0
H13368,2015,52.0,0,1,0,1,1,600.0,4,1960.0,   .,36,0
H13369,2016,52.0,0,1,0,1,1,600.0,4,1960.0,   .,36,1
H13370,2013,52.0,1,1,0,1,1,380.0,4,1960.0,   .,36,0
H13715,2013,4.0,0,1,0,1,1,460.0,4,1960.0,   .,36,0
H14484,2012,52.0,0,1,0,1,1,5419.0,4,1988.0,   .,36,1
H14485,2016,52.0,0,1,0,1,1,5419.0,4,1988.0,   .,36,1
H14550,2012,52.0,1,0,1,0,0,2800.0,4,1940.0,8,36,1
H14551,2015,52.0,1,0,1,0,0,2800.0,4,1940.0,8,36,0
H14552,2016,52.0,1,0,1,0,0,2800.0,4,1940.0,8,36,0
H15515,2012,52.0,1,0,1,0,0,450.0,4,1920.0,4,36,0
H15630,2014,52.0,1,0,1,0,0,1380.0,4,1960.0,5,36,0
H15772,2012,52.0,0,0,1,0,0,428.0,4,1930.0,4,36,0
H1584,2015,52.0,1,0,1,0,0,1000.0,4,1940.0,6,36,0
H15935,2012,52.0,1,0,1,0,0,1100.0,4,1920.0,7,36,0
H16002,2015,8.0,1,0,1,0,0,520.0,4,1973.0,5,36,0
H1622,2013,52.0,1,0,1,0,0,300.0,4,1920.0,3,36,1
H1624,2015,52.0,1,0,1,0,0,300.0,4,1920.0,3,36,0
H1625,2016,52.0,1,0,1,0,0,300.0,4,1920.0,3,36,0
H16624,2012,52.0,1,0,1,0,0,3250.0,4,1991.0,8,36,1
H16715,2013,52.0,1,0,1,0,0,1000.0,4,1974.0,5,36,0
H16977,2012,52.0,1,0,1,0,0,660.0,4,1920.0,5,36,1
H17859,2015,52.0,1,0,1,0,0,300.0,4,1920.0,4,36,0
H18015,2012,52.0,1,0,1,0,0,550.0,4,1930.0,5,36,0
H18016,2014,52.0,1,0,1,0,0,550.0,4,1930.0,5,36,1
H19140,2014,52.0,0,0,1,0,0,1255.0,4,1920.0,5,36,1
H19141,2015,52.0,0,0,1,0,0,1255.0,4,1920.0,5,36,0
H19368,2014,52.0,0,0,1,0,0,5610.0,4,1920.0,5,36,1
H19788,2015,5.0,1,0,1,0,0,1800.0,4,1965.0,6,36,0
H19789,2016,52.0,1,0,1,0,0,1800.0,4,1965.0,6,36,0
H5129,2013,52.0,1,0,1,0,0,500.0,4,1940.0,4,36,0
H5348,2014,52.0,0,1,0,1,1,1500.0,4,1980.0,   .,36,1
H6163,2013,52.0,0,0,1,0,0,1850.0,4,1950.0,4,36,0
H7159,2015,52.0,1,1,0,1,1,950.0,4,1960.0,   .,36,1
H7183,2012,52.0,1,1,0,1,1,340.0,4,1960.0,   .,36,0
H7184,2015,52.0,1,1,0,1,1,340.0,4,1960.0,   .,36,0
H7279,2015,52.0,0,0,1,0,0,997.0,4,1960.0,4,36,0
H16150,2013,52.0,1,0,1,0,0,3336.0,4,1970.0,5,3,0
H17519,2013,52.0,0,0,1,0,0,3270.0,4,1980.0,7,3,1
H17520,2015,52.0,0,0,1,0,0,3270.0,4,1980.0,7,3,0
H6536,2013,35.0,0,1,0,1,1,300.0,4,1960.0,   .,1,0
H13427,2012,52.0,1,1,0,1,1,2235.0,4,1960.0,   .,5,0
H14436,2012,52.0,0,1,0,1,1,1400.0,4,1980.0,   .,5,0
H16254,2015,52.0,1,0,1,0,0,5586.0,4,1978.0,5,5,0
H16255,2016,52.0,1,0,1,0,0,5586.0,4,1978.0,5,5,0
H4560,2014,52.0,0,0,1,0,0,800.0,4,1967.0,4,5,1
H12619,2013,46.0,0,1,0,1,1,300.0,4,1960.0,   .,17,0
H12638,2013,52.0,0,1,0,1,1,4310.0,4,1970.0,   .,17,1
H12928,2012,52.0,0,1,0,1,1,2160.0,4,1980.0,   .,17,1
H15123,2015,52.0,0,0,1,0,0,650.0,4,1960.0,3,17,1
H16926,2012,52.0,0,0,1,0,0,210.0,4,1927.0,2,17,0
H17036,2012,52.0,0,0,1,0,0,7063.0,4,1952.0,7,17,1
H17184,2013,52.0,0,0,1,0,0,1696.0,4,2007.0,5,17,0
H17876,2015,52.0,0,0,1,0,0,740.0,4,1940.0,4,17,0
H19966,2016,1.0,1,0,1,0,0,3300.0,4,1957.0,2,17,0
H200,2013,52.0,0,0,1,0,0,350.0,4,1960.0,4,17,0
H2198,2012,52.0,1,0,0,1,1,400.0,4,1980.0,   .,17,0
H2459,2014,0.0,0,0,0,1,1,1000.0,4,1970.0,   .,17,1
H385,2015,46.0,0,0,0,1,1,162.0,4,1970.0,   .,17,0
H391,2014,52.0,0,1,0,1,1,320.0,4,1960.0,   .,17,0
H392,2016,52.0,0,1,0,1,1,320.0,4,1960.0,   .,17,0
H5724,2015,30.0,1,0,0,1,1,18000.0,4,1980.0,   .,17,1
H725,2012,52.0,0,0,0,1,1,1225.0,4,1960.0,   .,17,1
H14086,2015,52.0,0,1,0,1,1,400.0,4,1960.0,   .,9,0
H14735,2013,43.0,0,1,0,1,1,270.0,4,1980.0,   .,9,0
H16502,2012,52.0,0,0,1,0,0,740.0,4,1970.0,4,9,0
H17791,2012,52.0,0,0,1,0,0,1150.0,4,1978.0,3,9,0
H18545,2015,52.0,0,0,1,0,0,4200.0,4,1988.0,4,9,1
H19770,2015,14.0,0,0,1,0,0,100.0,4,1800.0,3,9,0
H6135,2013,39.0,1,1,0,1,1,900.0,4,1988.0,   .,9,0
H6607,2012,52.0,1,1,0,1,1,9920.0,4,1980.0,   .,9,1
H6954,2015,52.0,0,0,0,1,1,2625.0,4,1980.0,   .,9,0
H13667,2013,52.0,0,0,1,0,0,5350.0,4,2007.0,7,12,0
H1374,2014,48.0,1,0,0,1,1,270.0,4,1960.0,   .,12,0
H14287,2012,52.0,0,1,0,1,1,3406.0,4,1988.0,   .,12,0
H15347,2012,52.0,0,0,1,0,0,3700.0,4,1985.0,7,12,1
H15348,2015,52.0,0,0,1,0,0,3700.0,4,1985.0,7,12,1
H18765,2012,22.0,0,0,1,0,0,3369.0,4,2009.0,3,12,0
H18766,2013,52.0,0,0,1,0,0,3369.0,4,2009.0,3,12,1
H18767,2014,52.0,0,0,1,0,0,3369.0,4,2009.0,3,12,1
H4087,2013,5.0,0,0,0,1,1,4846.0,4,1980.0,   .,12,0
H4475,2014,52.0,0,0,0,1,1,7887.0,4,1980.0,   .,12,1
H5184,2013,52.0,0,0,0,1,1,1300.0,4,1980.0,   .,12,1
H5185,2014,40.0,0,0,0,1,1,1300.0,4,1980.0,   .,12,0
H15504,2013,52.0,1,0,1,0,0,4000.0,4,1980.0,4,2,1
H15505,2014,52.0,1,0,1,0,0,4000.0,4,1980.0,4,2,0
H16260,2013,52.0,0,0,1,0,0,171.0,4,1930.0,3,2,1
H16261,2015,52.0,0,0,1,0,0,171.0,4,1930.0,3,2,0
H15826,2013,52.0,0,0,1,0,0,570.0,4,1960.0,2,2,0
H5245,2014,52.0,0,1,0,1,1,65.0,4,1960.0,   .,2,0
H19615,2016,52.0,0,0,1,0,0,367.0,4,1985.0,4,1,0
H6058,2013,52.0,1,1,0,1,1,200.0,4,1960.0,   .,1,1
H13802,2012,52.0,1,1,0,1,1,400.0,4,1960.0,   .,1,1
H13713,2013,52.0,0,1,0,1,1,400.0,4,1980.0,   .,2,0
H13714,2016,52.0,0,1,0,1,1,400.0,4,1980.0,   .,2,0
H14252,2012,52.0,0,0,1,0,0,400.0,4,1940.0,4,10,0
H14253,2016,52.0,0,0,1,0,0,400.0,4,1940.0,4,10,0
H14592,2012,52.0,0,0,1,0,0,400.0,4,1920.0,4,10,0
H15219,2014,52.0,0,0,1,0,0,6300.0,4,1977.0,5,10,1
H17277,2012,52.0,0,0,1,0,0,250.0,4,1890.0,5,10,0
H18713,2014,52.0,0,0,1,0,0,750.0,4,1900.0,3,10,0
H2984,2013,1.0,0,0,0,1,1,400.0,4,1960.0,   .,10,0
H393,2015,52.0,0,0,1,0,0,660.0,4,1949.0,5,10,1
H394,2013,52.0,0,0,1,0,0,1100.0,4,1978.0,3,10,0
H396,2013,52.0,0,0,1,0,0,530.0,4,1949.0,6,10,0
H15194,2012,52.0,0,0,1,0,0,3269.0,4,1975.0,4,3,0
H15195,2014,52.0,0,0,1,0,0,3269.0,4,1975.0,4,3,1
H15196,2015,52.0,0,0,1,0,0,3269.0,4,1975.0,4,3,0
H3672,2013,0.0,0,1,0,1,1,300.0,4,1970.0,   .,1,0
H18343,2013,52.0,0,0,1,0,0,640.0,4,1951.0,4,1,0
H12817,2015,52.0,0,1,0,1,1,530.0,4,1980.0,   .,4,0
H15625,2013,52.0,0,0,1,0,0,450.0,4,1960.0,3,4,0
H19106,2013,52.0,0,0,1,0,0,3800.0,4,1960.0,7,4,0
H5705,2014,25.0,1,0,1,0,0,1140.0,4,1988.0,3,4,1
H12668,2013,52.0,0,0,1,0,0,400.0,4,1960.0,5,113,0
H13306,2012,52.0,0,1,0,1,1,130.0,4,1960.0,   .,113,0
H13348,2012,52.0,0,1,0,1,1,243.0,4,1960.0,   .,113,0
H13349,2013,45.0,0,1,0,1,1,243.0,4,1960.0,   .,113,0
H1335,2012,52.0,1,0,0,1,1,2106.0,4,1980.0,   .,113,1
H13398,2013,52.0,1,1,0,1,1,1842.0,4,1988.0,   .,113,0
H1367,2012,29.0,1,0,0,1,1,2713.0,4,1980.0,   .,113,0
H13899,2015,52.0,0,0,1,0,0,500.0,4,1950.0,5,113,0
H14023,2012,52.0,0,1,0,1,1,614.0,4,1980.0,   .,113,0
H14231,2014,52.0,0,0,1,0,0,1370.0,4,2008.0,5,113,0
H14232,2015,52.0,0,0,1,0,0,1370.0,4,2008.0,5,113,0
H14574,2015,52.0,0,1,0,1,1,430.0,4,1960.0,   .,113,0
H14648,2014,52.0,0,1,0,1,1,1563.0,4,1980.0,   .,113,0
H14811,2013,52.0,0,1,0,1,1,250.0,4,1960.0,   .,113,0
H14825,2013,43.0,0,1,0,1,1,1350.0,4,1980.0,   .,113,0
H14855,2014,52.0,0,1,0,1,1,480.0,4,1960.0,   .,113,0
H14856,2015,52.0,0,1,0,1,1,480.0,4,1960.0,   .,113,0
H14857,2014,52.0,0,1,0,1,1,1600.0,4,1960.0,   .,113,0
H14968,2014,52.0,0,1,0,1,1,5800.0,4,1988.0,   .,113,1
H14969,2016,52.0,0,0,1,0,0,1000.0,4,1972.0,6,113,0
H15095,2015,4.0,0,0,1,0,0,2000.0,4,1972.0,6,113,0
H15590,2016,52.0,0,0,1,0,0,2880.0,4,1970.0,8,113,1
H15644,2015,52.0,0,0,1,0,0,3343.0,4,1970.0,7,113,0
H15869,2014,52.0,0,0,1,0,0,10573.0,4,1972.0,9,113,0
H1593,2013,52.0,1,0,0,1,1,1853.0,4,1988.0,   .,113,0
H16012,2016,9.0,1,0,1,0,0,5939.0,4,1987.0,6,113,0
H16176,2016,52.0,0,0,1,0,0,518.0,4,2010.0,4,113,1
H16237,2015,52.0,0,0,1,0,0,3120.0,4,2000.0,4,113,0
H16238,2016,52.0,0,0,1,0,0,3120.0,4,2000.0,4,113,1
H16375,2014,52.0,0,0,1,0,0,450.0,4,1920.0,6,113,0
H16930,2014,52.0,0,0,1,0,0,12900.0,4,1970.0,5,113,0
H16931,2016,52.0,0,0,1,0,0,12900.0,4,1970.0,5,113,1
H17129,2015,52.0,0,0,1,0,0,450.0,4,1960.0,3,113,0
H17417,2012,52.0,0,0,1,0,0,1300.0,4,1960.0,5,113,1
H17557,2012,52.0,0,0,1,0,0,254.0,4,1900.0,3,113,1
H17752,2013,52.0,0,0,1,0,0,1050.0,4,1960.0,4,113,0
H18217,2013,52.0,0,0,1,0,0,4500.0,4,2011.0,7,113,0
H18220,2014,52.0,0,0,1,0,0,700.0,4,1960.0,3,113,1
H18234,2012,23.0,1,0,1,0,0,2712.0,4,1970.0,6,113,0
H18235,2015,52.0,1,0,1,0,0,2712.0,4,1970.0,6,113,0
H18735,2013,52.0,0,0,1,0,0,300.0,4,1920.0,3,113,0
H18761,2012,26.0,1,0,1,0,0,1120.0,4,2007.0,1,113,0
H19039,2014,52.0,0,0,1,0,0,5598.0,4,1980.0,5,113,1
H19040,2016,52.0,0,0,1,0,0,4500.0,4,1980.0,5,113,1
H19857,2016,39.0,1,0,1,0,0,2659.0,4,1962.0,6,113,0
H19902,2016,26.0,1,0,1,0,0,450.0,4,1900.0,2,113,0
H19950,2016,4.0,1,0,1,0,0,300.0,4,1900.0,3,113,0
H3085,2012,52.0,0,0,1,0,0,500.0,4,1930.0,4,113,0
H3106,2016,52.0,0,0,0,1,1,1619.0,4,1980.0,   .,113,0
H3107,2012,52.0,0,0,0,1,1,826.0,4,1980.0,   .,113,1
H3108,2016,52.0,0,0,0,1,1,826.0,4,1980.0,   .,113,0
H3249,2014,52.0,0,0,0,1,1,1365.0,4,1960.0,   .,113,0
H3613,2012,52.0,0,0,1,0,0,184.0,4,1960.0,4,113,0
H3646,2014,52.0,0,0,1,0,0,970.0,4,1950.0,4,113,0
H372,2015,52.0,0,0,0,1,1,686.0,4,1960.0,   .,113,0
H3752,2014,52.0,0,0,1,0,0,900.0,4,1956.0,5,113,0
H3897,2013,52.0,0,0,1,0,0,3508.0,4,1975.0,7,113,1
H3983,2012,52.0,0,0,0,1,1,2900.0,4,1960.0,   .,113,1
H3984,2013,52.0,0,0,0,1,1,2900.0,4,1960.0,   .,113,1
H4004,2016,52.0,0,0,0,1,1,6984.0,4,1980.0,   .,113,0
H4034,2013,52.0,0,0,1,0,0,2034.0,4,1970.0,7,113,0
H4045,2014,52.0,0,1,0,1,1,7223.0,4,1980.0,   .,113,0
H4071,2015,52.0,0,0,0,1,1,9400.0,4,1960.0,   .,113,1
H4077,2014,52.0,0,0,0,1,1,4286.0,4,1960.0,   .,113,1
H4085,2012,52.0,0,0,0,1,1,1700.0,4,1960.0,   .,113,0
H4086,2015,52.0,0,0,0,1,1,1500.0,4,1980.0,   .,113,1
H4125,2014,52.0,0,0,1,0,0,8400.0,4,1980.0,8,113,1
H4307,2013,52.0,0,1,0,1,1,300.0,4,1980.0,   .,113,0
H4428,2012,52.0,0,0,0,1,1,4176.0,4,1988.0,   .,113,0
H4429,2013,52.0,0,0,0,1,1,4176.0,4,1988.0,   .,113,0
H4474,2013,52.0,0,0,1,0,0,3400.0,4,1960.0,6,113,1
H4485,2013,52.0,0,0,1,0,0,500.0,4,1960.0,4,113,1
H4486,2016,52.0,0,0,1,0,0,500.0,4,1960.0,4,113,0
H4488,2013,52.0,0,0,1,0,0,3501.0,4,1980.0,5,113,0
H4512,2013,52.0,1,0,0,1,1,1325.0,4,1980.0,   .,113,0
H4513,2014,52.0,1,0,0,1,1,1325.0,4,1980.0,   .,113,1
H4579,2015,52.0,0,0,1,0,0,9500.0,4,1993.0,5,113,1
H4585,2013,52.0,0,0,0,1,1,20.0,4,1988.0,   .,113,0
H4586,2015,52.0,0,0,0,1,1,20.0,4,1988.0,   .,113,0
H4617,2016,52.0,0,0,1,0,0,441.0,4,1960.0,4,113,0
H4668,2012,52.0,0,0,1,0,0,1137.0,4,1960.0,5,113,1
H4796,2015,52.0,1,1,0,1,1,250.0,4,1960.0,   .,113,0
H4990,2014,52.0,1,1,0,1,1,418.0,4,1960.0,   .,113,0
H5021,2016,52.0,0,1,0,1,1,860.0,4,1980.0,   .,113,0
H5094,2015,24.0,0,1,0,1,1,500.0,4,1960.0,   .,113,0
H5188,2014,41.0,0,0,0,1,1,3873.0,4,1988.0,   .,113,0
H5196,2012,52.0,0,0,1,0,0,3708.0,4,1970.0,7,113,0
H5230,2013,52.0,0,0,1,0,0,700.0,4,1975.0,5,113,1
H5309,2013,52.0,0,0,0,1,1,7300.0,4,1980.0,   .,113,1
H5316,2015,52.0,1,1,0,1,1,1080.0,4,1960.0,   .,113,0
H5339,2015,52.0,0,0,1,0,0,1446.0,4,1950.0,4,113,1
H5401,2014,52.0,1,1,0,1,1,357.0,4,1960.0,   .,113,0
H5407,2016,52.0,0,0,1,0,0,2230.0,4,1960.0,5,113,0
H5456,2016,52.0,0,0,1,0,0,1500.0,4,1900.0,5,113,0
H5462,2013,52.0,0,0,0,1,1,4700.0,4,1980.0,   .,113,1
H5528,2014,52.0,0,0,1,0,0,3757.0,4,1960.0,4,113,1
H6064,2014,52.0,0,0,0,1,1,3043.0,4,1980.0,   .,113,0
H6085,2016,52.0,0,1,0,1,1,317.0,4,1980.0,   .,113,0
H6089,2012,52.0,1,1,0,1,1,1702.0,4,1960.0,   .,113,0
H6096,2012,52.0,0,0,0,1,1,860.0,4,1980.0,   .,113,1
H6159,2012,52.0,0,1,0,1,1,400.0,4,1980.0,   .,113,0
H6316,2013,16.0,0,0,1,0,0,3450.0,4,2003.0,7,113,0
H6373,2013,52.0,0,0,0,1,1,3510.0,4,1980.0,   .,113,1
H642,2012,52.0,0,0,0,1,1,1565.0,4,1960.0,   .,113,0
H6439,2012,52.0,0,0,1,0,0,4300.0,4,1940.0,6,113,1
H6440,2016,52.0,0,0,1,0,0,4300.0,4,1940.0,6,113,0
H6463,2014,52.0,0,0,1,0,0,6650.0,4,1912.0,8,113,1
H6464,2015,52.0,0,0,1,0,0,6650.0,4,1912.0,8,113,1
H6657,2015,52.0,1,1,0,1,1,1500.0,4,1960.0,   .,113,0
H6701,2016,52.0,0,0,1,0,0,2857.0,4,1950.0,7,113,1
H7295,2013,52.0,0,0,0,1,1,1178.0,4,1980.0,   .,113,0
H7350,2013,52.0,0,1,0,1,1,5785.0,4,1980.0,   .,113,1
H7410,2014,52.0,0,0,0,1,1,260.0,4,1980.0,   .,113,0
H529,2012,52.0,0,0,0,1,1,60.0,4,1988.0,   .,1,0
H6380,2014,52.0,0,0,1,0,0,400.0,4,1983.0,3,1,0
H12713,2013,52.0,1,1,0,1,1,279.0,4,1980.0,   .,143,0
H12935,2013,31.0,1,1,0,1,1,1196.0,4,1980.0,   .,143,0
H13194,2012,52.0,1,1,0,1,1,670.0,4,1980.0,   .,143,1
H13281,2014,52.0,0,0,1,0,0,1984.0,4,1954.0,7,143,1
H13446,2014,52.0,1,1,0,1,1,450.0,4,1960.0,   .,143,0
H13811,2012,52.0,0,1,0,1,1,234.0,4,1960.0,   .,143,0
